community_id,T1,T2,T3,T4,T5,T6
0,0.20888157894736842,0.15213815789473684,0.125,0.16940789473684212,0.14309210526315788,0.20148026315789475
1,0.20568720379146918,0.15260663507109004,0.11943127962085308,0.1791469194312796,0.14502369668246445,0.1981042654028436
2,0.2374429223744292,0.17465753424657535,0.1278538812785388,0.09703196347031963,0.1449771689497717,0.2180365296803653
3,0.18061674008810572,0.22687224669603523,0.11894273127753303,0.16519823788546256,0.1145374449339207,0.19383259911894274
4,0.23461538461538461,0.13653846153846153,0.11346153846153846,0.17692307692307693,0.1423076923076923,0.19615384615384615
5,0.16842105263157894,0.16842105263157894,0.1649122807017544,0.17192982456140352,0.12280701754385964,0.20350877192982456
6,0.14915254237288136,0.17288135593220338,0.12542372881355932,0.19661016949152543,0.1423728813559322,0.2135593220338983
7,0.19572953736654805,0.23487544483985764,0.18861209964412812,0.08185053380782918,0.12455516014234876,0.17437722419928825
8,0.0,0.25,0.25,0.25,0.25,0.0
9,0.0,0.0,1.0,0.0,0.0,0.0
10,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
11,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
12,0.0,0.0,0.0,0.0,1.0,0.0
13,0.0,0.0,0.5,0.5,0.0,0.0
14,0.0,0.0,0.25,0.25,0.0,0.5
15,0.5,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0
16,0.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.5,0.0,0.0,0.5
18,0.0,0.0,0.0,0.0,0.0,1.0
19,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
